"screen_id","screen_name","group_code","group_name","doc_ref","roles","platforms","viewports_px","phase","states","state_count","components","frame_count","flows","acc_criteria","design_file","status","decision_applied","design_status","frame_ref","frames_drawn","frames_required"
"CUS-03","قائمة رسائل المحل وتفاصيل","CUS","بوابة زبون المحل","١١،١٤","زبون المحل","C","390 1440","أساسي","ready loading empty expired permission_denied","5","C-TIMELIST C-STATUS C-NOTICE","10","F15","","21-D16-Subscription-Customer-Public.dc.html","owner_approved","","drawn","21-D16-Subscription-Customer-Public.dc.html#CUS-03","1","5","10"
"CUS-04","تفضيلات وإلغاء الاشتراك","CUS","بوابة زبون المحل","١١،١٤","زبون المحل","C","390 1440","أساسي","ready validation_error success","3","C-FIELD C-DIALOG C-STATUS","6","F15","ACC-105 ACC-112","21-D16-Subscription-Customer-Public.dc.html","owner_approved","","drawn","08-D4-Marketplace-Orders.dc.html#CUS-04","2","3","6"
"CUS-05","إذن مرفوض أو اشتراك منتهٍ","CUS","بوابة زبون المحل","١١،١٤","زبون المحل","C","390 1440","أساسي","ready permission_denied expired","3","C-NOTICE C-BTN C-STATUS","6","","ACC-107","21-D16-Subscription-Customer-Public.dc.html","owner_approved","","drawn","08-D4-Marketplace-Orders.dc.html#CUS-05","2","3","6"
"PLT-01","دخول الإدارة ومساحة المشغل","PLT","إدارة Sting","٩،١١،١٣،١٦،١٧","مشغّل الخدمة، مشرف السوق، ناشر إعلانات Sting","A","390 834 1440","أساسي","ready validation_error permission_denied","3","C-FRAME C-NAV C-FIELD","9","","","18-D13-Platform-Operator.dc.html","owner_approved","","drawn","26-D19-Platform-Operator-Complete.dc.html#PLT-01","3","3","9"
"PLT-02","قائمة المستأجرين وتفاصيل الاستحقاق","PLT","إدارة Sting","٩،١١،١٣،١٦،١٧","مشغّل الخدمة، مشرف السوق، ناشر إعلانات Sting","A","390 834 1440","أساسي","ready loading empty permission_denied","4","C-TABLE C-FILTER C-STATUS","12","","","18-D13-Platform-Operator.dc.html","owner_approved","","drawn","08-D4-Marketplace-Orders.dc.html#PLT-02","1","4","12"
"PLT-03","مراجعة دفع الاشتراك","PLT","إدارة Sting","٩،١١،١٣،١٦،١٧","مشغّل الخدمة، مشرف السوق، ناشر إعلانات Sting","A","390 834 1440","أساسي","ready validation_error conflict success","4","C-DOCPRV C-DIALOG C-STATUS","12","F17","","18-D13-Platform-Operator.dc.html","owner_approved","","drawn","18-D13-Platform-Operator.dc.html#PLT-03","2","4","12"
"PLT-04","إعلانات المنصة وصيانة","PLT","إدارة Sting","٩،١١،١٣،١٦،١٧","مشغّل الخدمة، مشرف السوق، ناشر إعلانات Sting","A","390 834 1440","أساسي","ready validation_error saving success","4","C-CAMP C-AUD C-DOCPRV","12","","ACC-104","18-D13-Platform-Operator.dc.html","owner_approved","","drawn","26-D19-Platform-Operator-Complete.dc.html#PLT-04","2","4","12"
"PLT-05","تشغيل الإرسال والإخفاقات","PLT","إدارة Sting","٩،١١،١٣،١٦،١٧","مشغّل الخدمة، مشرف السوق، ناشر إعلانات Sting","A","390 834 1440","أساسي","ready empty partial server_error","4","C-TABLE C-STATUS C-NOTICE","12","","ACC-103","18-D13-Platform-Operator.dc.html","owner_approved","","drawn","26-D19-Platform-Operator-Complete.dc.html#PLT-05","4","4","12"
"PLT-06","طلبات تحقق منشآت السوق","PLT","إدارة Sting","٩،١١،١٣،١٦،١٧","مشغّل الخدمة، مشرف السوق، ناشر إعلانات Sting","A","390 834 1440","أساسي","ready loading empty validation_error success","5","C-DOCPRV C-STATUS C-DIALOG","15","F16","","18-D13-Platform-Operator.dc.html","owner_approved","","drawn","18-D13-Platform-Operator.dc.html#PLT-06","1","5","15"
"PLT-07","مراجعة بلاغ وتعليق نشر واعتراض","PLT","إدارة Sting","٩،١١،١٣،١٦،١٧","مشغّل الخدمة، مشرف السوق، ناشر إعلانات Sting","A","390 834 1440","أساسي","ready validation_error permission_denied success","4","C-DOCPRV C-DIALOG C-TIMELIST","12","F16","ACC-135 ACC-139","18-D13-Platform-Operator.dc.html","owner_approved","","drawn","26-D19-Platform-Operator-Complete.dc.html#PLT-07","3","4","12"
"PLT-08","متابعة الخلافات","PLT","إدارة Sting","٩،١١،١٣،١٦،١٧","مشغّل الخدمة، مشرف السوق، ناشر إعلانات Sting","A","390 834 1440","أساسي","ready loading empty partial","4","C-TABLE C-TIMELIST C-STATUS","12","F16","ACC-148","18-D13-Platform-Operator.dc.html","owner_approved","","drawn","26-D19-Platform-Operator-Complete.dc.html#PLT-08","4","4","12"
"PLT-09","صحة المزامنة والخادم","PLT","إدارة Sting","٩،١١،١٣،١٦،١٧","مشغّل الخدمة، مشرف السوق، ناشر إعلانات Sting","A","390 834 1440","أساسي","ready loading stale server_error","4","C-TABLE C-SYNC C-STATUS","12","","","18-D13-Platform-Operator.dc.html","owner_approved","","drawn","18-D13-Platform-Operator.dc.html#PLT-09","3","4","12"
"PLT-10","نسخ خادمية وتجربة استعادة","PLT","إدارة Sting","٩،١١،١٣،١٦،١٧","مشغّل الخدمة، مشرف السوق، ناشر إعلانات Sting","A","390 834 1440","أساسي","ready loading server_error success","4","C-TABLE C-DIALOG C-NOTICE","12","","ACC-75","18-D13-Platform-Operator.dc.html","owner_approved","","drawn","26-D19-Platform-Operator-Complete.dc.html#PLT-10","3","4","12"
"PLT-11","لوحة اكتساب وقياس M0","PLT","إدارة Sting","٩،١١،١٣،١٦،١٧","مشغّل الخدمة، مشرف السوق، ناشر إعلانات Sting","A","390 834 1440","أساسي","ready loading empty stale","4","C-TABLE C-FILTER C-NOTICE","12","","ACC-142 ACC-146 ACC-147","18-D13-Platform-Operator.dc.html","owner_approved","","drawn","08-D4-Marketplace-Orders.dc.html#PLT-11","1","4","12"
"PLT-12","إدارة استحقاقات وإعدادات تشغيل","PLT","إدارة Sting","٩،١١،١٣،١٦،١٧","مشغّل الخدمة، مشرف السوق، ناشر إعلانات Sting","A","390 834 1440","أساسي","ready validation_error permission_denied success","4","C-TABLE C-FIELD C-DIALOG","12","","","18-D13-Platform-Operator.dc.html","owner_approved","","drawn","26-D19-Platform-Operator-Complete.dc.html#PLT-12","4","4","12"
"WEB-01","تثبيت PWA أو عدم دعم التثبيت","WEB","تكامل الويب","١٢،١٣","كل الأدوار التجارية","W","390 834 1440","أساسي","ready offline permission_denied success","4","C-NOTICE C-BTN C-DOCPRV","12","","ACC-76 ACC-93","09-D5-Platform-Integrations.dc.html","owner_approved","","drawn","09-D5-Platform-Integrations.dc.html#WEB-01","2","4","12"
"WEB-02","إذن Web Push وحالاته","WEB","تكامل الويب","١٢،١٣","كل الأدوار التجارية","W","390 834 1440","أساسي","ready permission_denied expired success","4","C-NOTICE C-BTN C-STATUS","12","","ACC-95 ACC-107","09-D5-Platform-Integrations.dc.html","owner_approved","","drawn","09-D5-Platform-Integrations.dc.html#WEB-02","1","4","12"
"WEB-03","ربط طابعة ويب وتجربة عربية","WEB","تكامل الويب","١٢،١٣","كل الأدوار التجارية","W","390 834 1440","أساسي","ready validation_error server_error success","4","C-PRINT C-NOTICE C-DOCPRV","12","","ACC-83","09-D5-Platform-Integrations.dc.html","owner_approved","G-10 العتاد والأنظمة المعتمدة","drawn","09-D5-Platform-Integrations.dc.html#WEB-03","1","4","12"
"NAT-01","أذونات كاميرا وباركود","NAT","تكامل الموبايل","١٢،١٣","كل الأدوار التجارية","M","390","أساسي","ready validation_error permission_denied success","4","C-SHEET C-NOTICE C-FIELD","4","","ACC-107","09-D5-Platform-Integrations.dc.html","owner_approved","","drawn","09-D5-Platform-Integrations.dc.html#NAT-01","1","4","4"
"NAT-02","طابعة وأذونات Bluetooth","NAT","تكامل الموبايل","١٢،١٣","كل الأدوار التجارية","M","390","أساسي","ready loading permission_denied server_error success","5","C-PRINT C-SHEET C-NOTICE","5","","","09-D5-Platform-Integrations.dc.html","owner_approved","G-10 العتاد والأنظمة المعتمدة","drawn","09-D5-Platform-Integrations.dc.html#NAT-02","1","5","5"
"NAT-03","Push وفتح رابط عميق","NAT","تكامل الموبايل","١٢،١٣","كل الأدوار التجارية","M","390","أساسي","ready expired permission_denied success","4","C-NOTICE C-STATUS C-DIALOG","4","","ACC-112 ACC-113","09-D5-Platform-Integrations.dc.html","owner_approved","","drawn","12-D7-Remaining-Screens.dc.html#NAT-03","1","4","4"
"NAT-04","تحديث وأسرار ونسخة احتياطية","NAT","تكامل الموبايل","١٢،١٣","كل الأدوار التجارية","M","390","أساسي","ready validation_error pending_sync server_error success","5","C-DIALOG C-SYNC C-NOTICE","5","","ACC-99 ACC-100","09-D5-Platform-Integrations.dc.html","owner_approved","","drawn","09-D5-Platform-Integrations.dc.html#NAT-04","1","5","5"
"DESK-01","إعداد أول تشغيل وتحديث","DESK","تكامل الديسكتوب","١٢،١٣","كل الأدوار التجارية","D","1366 1920","أساسي","ready loading validation_error server_error success","5","C-NOTICE C-DIALOG C-BTN","10","","ACC-100","12-D7-Remaining-Screens.dc.html","owner_approved","G-10 العتاد والأنظمة المعتمدة","drawn","09-D5-Platform-Integrations.dc.html#DESK-01","1","5","10"
"DESK-02","اختيار طابعة ومعاينة وطابور","DESK","تكامل الديسكتوب","١٢،١٣","كل الأدوار التجارية","D","1366 1920","أساسي","ready empty server_error success","4","C-PRINT C-DOCPRV C-TABLE","8","","ACC-83 ACC-84 ACC-101","12-D7-Remaining-Screens.dc.html","owner_approved","","drawn","09-D5-Platform-Integrations.dc.html#DESK-02","1","4","8"
"DESK-03","اختصارات وإدارة التركيز","DESK","تكامل الديسكتوب","١٢،١٣","كل الأدوار التجارية","D","1366 1920","أساسي","ready validation_error conflict","3","C-TABLE C-DIALOG C-NOTICE","6","","","12-D7-Remaining-Screens.dc.html","owner_approved","","drawn","09-D5-Platform-Integrations.dc.html#DESK-03","1","3","6"
"DESK-04","حوار حفظ واستعادة ملف","DESK","تكامل الديسكتوب","١٢،١٣","كل الأدوار التجارية","D","1366 1920","أساسي","ready validation_error server_error success","4","C-DIALOG C-UPLOAD C-NOTICE","8","","","12-D7-Remaining-Screens.dc.html","owner_approved","","drawn","12-D7-Remaining-Screens.dc.html#DESK-04","1","4","8"
"DESK-05","إشعارات وإغلاق التطبيق","DESK","تكامل الديسكتوب","١٢،١٣","كل الأدوار التجارية","D","1366 1920","أساسي","ready offline permission_denied","3","C-NOTICE C-STATUS C-DIALOG","6","","","12-D7-Remaining-Screens.dc.html","owner_approved","","drawn","09-D5-Platform-Integrations.dc.html#DESK-05","2","3","6"
"PUB-01","تعريف Sting والباقات ومدخل السوق","PUB","صفحات عامة وخدمة","١١،١٤،١٧","زائر","W","390 834 1440","أساسي","ready offline","2","C-FRAME C-BTN C-TABLE","6","F09","","21-D16-Subscription-Customer-Public.dc.html","owner_approved","","drawn","12-D7-Remaining-Screens.dc.html#PUB-01","1","2","6"
"PUB-02","الخصوصية وشروط السوق والمساعدة","PUB","صفحات عامة وخدمة","١١،١٤،١٧","زائر","W","390 834 1440","أساسي","ready loading phase_locked","3","C-FRAME C-DOCPRV","9","","ACC-91","21-D16-Subscription-Customer-Public.dc.html","owner_approved","G-11 المراجعة القانونية","drawn","21-D16-Subscription-Customer-Public.dc.html#PUB-02","1","3","9"
"PUB-03","حالة الخدمة والصيانة","PUB","صفحات عامة وخدمة","١١،١٤،١٧","زائر","W","390 834 1440","أساسي","ready stale server_error","3","C-STATUS C-TIMELIST C-NOTICE","9","","ACC-114","21-D16-Subscription-Customer-Public.dc.html","owner_approved","","drawn","09-D5-Platform-Integrations.dc.html#PUB-03","1","3","9"
"PUB-04","صفحة غير موجودة أو رابط منتهٍ","PUB","صفحات عامة وخدمة","١١،١٤،١٧","زائر","W","390 834 1440","أساسي","empty expired permission_denied","3","C-NOTICE C-BTN","9","","ACC-60 ACC-121","21-D16-Subscription-Customer-Public.dc.html","owner_approved","","drawn","09-D5-Platform-Integrations.dc.html#PUB-04","1","3","9"
